protocolo,escenario,repeticion,operacion_id,timestamp,prepare_latency_ms,commit_latency_ms,total_latency_ms,exito,nodos_involucrados,tipo_fallo,compensaciones,observaciones
2pc,A,1,1,2026-07-07T01:16:40.066145,1.13,0.5,49.74,true,"banco_arequipa,banco_cusco",ninguno,0,FASE 2: GLOBAL COMMIT | COMMIT GLOBAL EJECUTADO | Transferencia completada exitosamente
2pc,A,1,2,2026-07-07T01:16:40.097049,1.09,0.5,26.32,true,"banco_arequipa,banco_cusco",ninguno,0,FASE 2: GLOBAL COMMIT | COMMIT GLOBAL EJECUTADO | Transferencia completada exitosamente
2pc,A,1,3,2026-07-07T01:16:40.142934,1.15,0.5,42.1,true,"banco_arequipa,banco_cusco",ninguno,0,FASE 2: GLOBAL COMMIT | COMMIT GLOBAL EJECUTADO | Transferencia completada exitosamente
2pc,A,2,1,2026-07-07T01:16:40.174497,1.11,0.5,27.49,true,"banco_arequipa,banco_cusco",ninguno,0,FASE 2: GLOBAL COMMIT | COMMIT GLOBAL EJECUTADO | Transferencia completada exitosamente
2pc,A,2,2,2026-07-07T01:16:40.208604,1.07,0.5,29.7,true,"banco_arequipa,banco_cusco",ninguno,0,FASE 2: GLOBAL COMMIT | COMMIT GLOBAL EJECUTADO | Transferencia completada exitosamente
2pc,A,2,3,2026-07-07T01:16:40.243305,1.09,0.5,29.66,true,"banco_arequipa,banco_cusco",ninguno,0,FASE 2: GLOBAL COMMIT | COMMIT GLOBAL EJECUTADO | Transferencia completada exitosamente
2pc,A,3,1,2026-07-07T01:16:40.275271,1.1,0.5,26.65,true,"banco_arequipa,banco_cusco",ninguno,0,FASE 2: GLOBAL COMMIT | COMMIT GLOBAL EJECUTADO | Transferencia completada exitosamente
2pc,A,3,2,2026-07-07T01:16:40.308883,1.09,0.5,27.74,true,"banco_arequipa,banco_cusco",ninguno,0,FASE 2: GLOBAL COMMIT | COMMIT GLOBAL EJECUTADO | Transferencia completada exitosamente
2pc,A,3,3,2026-07-07T01:16:40.343578,1.14,0.5,29.47,true,"banco_arequipa,banco_cusco",ninguno,0,FASE 2: GLOBAL COMMIT | COMMIT GLOBAL EJECUTADO | Transferencia completada exitosamente
2pc,A,4,1,2026-07-07T01:16:40.374996,1.13,0.5,26.01,true,"banco_arequipa,banco_cusco",ninguno,0,FASE 2: GLOBAL COMMIT | COMMIT GLOBAL EJECUTADO | Transferencia completada exitosamente
2pc,A,4,2,2026-07-07T01:16:40.408536,1.1,0.5,28.25,true,"banco_arequipa,banco_cusco",ninguno,0,FASE 2: GLOBAL COMMIT | COMMIT GLOBAL EJECUTADO | Transferencia completada exitosamente
2pc,A,4,3,2026-07-07T01:16:40.438815,1.14,0.5,26.52,true,"banco_arequipa,banco_cusco",ninguno,0,FASE 2: GLOBAL COMMIT | COMMIT GLOBAL EJECUTADO | Transferencia completada exitosamente
2pc,A,5,1,2026-07-07T01:16:40.477761,1.57,0.5,32.69,true,"banco_arequipa,banco_cusco",ninguno,0,FASE 2: GLOBAL COMMIT | COMMIT GLOBAL EJECUTADO | Transferencia completada exitosamente
2pc,A,5,2,2026-07-07T01:16:40.509704,1.1,0.5,28.03,true,"banco_arequipa,banco_cusco",ninguno,0,FASE 2: GLOBAL COMMIT | COMMIT GLOBAL EJECUTADO | Transferencia completada exitosamente
2pc,A,5,3,2026-07-07T01:16:40.541014,1.1,0.5,27.3,true,"banco_arequipa,banco_cusco",ninguno,0,FASE 2: GLOBAL COMMIT | COMMIT GLOBAL EJECUTADO | Transferencia completada exitosamente
