protocolo,escenario,repeticion,operacion_id,timestamp,prepare_latency_ms,commit_latency_ms,total_latency_ms,exito,nodos_involucrados,tipo_fallo,compensaciones,observaciones
2pc,B,1,1,2026-07-07T01:16:41.043066,1.13,0.5,322.38,false,"banco_arequipa,banco_cusco",red,0,ERROR: Falla de red — pérdida de conexión con Banco Cusco | GLOBAL ROLLBACK EJECUTADO | Transacción cancelada — ningún saldo fue modificado
2pc,B,1,2,2026-07-07T01:16:41.370113,1.17,0.5,322.29,false,"banco_arequipa,banco_cusco",red,0,ERROR: Falla de red — pérdida de conexión con Banco Cusco | GLOBAL ROLLBACK EJECUTADO | Transacción cancelada — ningún saldo fue modificado
2pc,B,1,3,2026-07-07T01:16:41.715552,1.1,0.5,322.84,false,"banco_arequipa,banco_cusco",red,0,ERROR: Falla de red — pérdida de conexión con Banco Cusco | GLOBAL ROLLBACK EJECUTADO | Transacción cancelada — ningún saldo fue modificado
2pc,B,2,1,2026-07-07T01:16:42.045542,1.11,0.5,323.76,false,"banco_arequipa,banco_cusco",red,0,ERROR: Falla de red — pérdida de conexión con Banco Cusco | GLOBAL ROLLBACK EJECUTADO | Transacción cancelada — ningún saldo fue modificado
2pc,B,2,2,2026-07-07T01:16:42.373948,1.12,0.5,322.41,false,"banco_arequipa,banco_cusco",red,0,ERROR: Falla de red — pérdida de conexión con Banco Cusco | GLOBAL ROLLBACK EJECUTADO | Transacción cancelada — ningún saldo fue modificado
2pc,B,2,3,2026-07-07T01:16:42.703272,1.13,0.5,323.84,false,"banco_arequipa,banco_cusco",red,0,ERROR: Falla de red — pérdida de conexión con Banco Cusco | GLOBAL ROLLBACK EJECUTADO | Transacción cancelada — ningún saldo fue modificado
2pc,B,3,1,2026-07-07T01:16:43.030570,1.08,0.5,322.67,false,"banco_arequipa,banco_cusco",red,0,ERROR: Falla de red — pérdida de conexión con Banco Cusco | GLOBAL ROLLBACK EJECUTADO | Transacción cancelada — ningún saldo fue modificado
2pc,B,3,2,2026-07-07T01:16:43.358378,1.11,0.5,321.93,false,"banco_arequipa,banco_cusco",red,0,ERROR: Falla de red — pérdida de conexión con Banco Cusco | GLOBAL ROLLBACK EJECUTADO | Transacción cancelada — ningún saldo fue modificado
2pc,B,3,3,2026-07-07T01:16:43.687685,1.09,0.5,324.29,false,"banco_arequipa,banco_cusco",red,0,ERROR: Falla de red — pérdida de conexión con Banco Cusco | GLOBAL ROLLBACK EJECUTADO | Transacción cancelada — ningún saldo fue modificado
2pc,B,4,1,2026-07-07T01:16:44.019103,1.31,0.5,325.53,false,"banco_arequipa,banco_cusco",red,0,ERROR: Falla de red — pérdida de conexión con Banco Cusco | GLOBAL ROLLBACK EJECUTADO | Transacción cancelada — ningún saldo fue modificado
2pc,B,4,2,2026-07-07T01:16:44.347227,1.08,0.5,322.93,false,"banco_arequipa,banco_cusco",red,0,ERROR: Falla de red — pérdida de conexión con Banco Cusco | GLOBAL ROLLBACK EJECUTADO | Transacción cancelada — ningún saldo fue modificado
2pc,B,4,3,2026-07-07T01:16:44.684249,1.31,0.5,330.94,false,"banco_arequipa,banco_cusco",red,0,ERROR: Falla de red — pérdida de conexión con Banco Cusco | GLOBAL ROLLBACK EJECUTADO | Transacción cancelada — ningún saldo fue modificado
2pc,B,5,1,2026-07-07T01:16:45.013743,1.1,0.5,322.85,false,"banco_arequipa,banco_cusco",red,0,ERROR: Falla de red — pérdida de conexión con Banco Cusco | GLOBAL ROLLBACK EJECUTADO | Transacción cancelada — ningún saldo fue modificado
2pc,B,5,2,2026-07-07T01:16:45.341250,1.14,0.5,322.68,false,"banco_arequipa,banco_cusco",red,0,ERROR: Falla de red — pérdida de conexión con Banco Cusco | GLOBAL ROLLBACK EJECUTADO | Transacción cancelada — ningún saldo fue modificado
2pc,B,5,3,2026-07-07T01:16:45.671105,1.12,0.5,325.18,false,"banco_arequipa,banco_cusco",red,0,ERROR: Falla de red — pérdida de conexión con Banco Cusco | GLOBAL ROLLBACK EJECUTADO | Transacción cancelada — ningún saldo fue modificado
