protocolo,escenario,repeticion,operacion_id,timestamp,prepare_latency_ms,commit_latency_ms,total_latency_ms,exito,nodos_involucrados,tipo_fallo,compensaciones,observaciones
2pc,C,1,1,2026-07-07T01:16:45.894062,1.13,0.5,24.45,false,"banco_arequipa,banco_cusco",nodo_caido,0,ERROR: Nodo caído: Banco Cusco no completó el COMMIT | GLOBAL ROLLBACK EJECUTADO | Débito revertido en origen — estado consistente restaurado
2pc,C,1,2,2026-07-07T01:16:45.922682,1.15,0.5,23.31,false,"banco_arequipa,banco_cusco",nodo_caido,0,ERROR: Nodo caído: Banco Cusco no completó el COMMIT | GLOBAL ROLLBACK EJECUTADO | Débito revertido en origen — estado consistente restaurado
2pc,C,1,3,2026-07-07T01:16:45.960336,1.14,0.5,25.33,false,"banco_arequipa,banco_cusco",nodo_caido,0,ERROR: Nodo caído: Banco Cusco no completó el COMMIT | GLOBAL ROLLBACK EJECUTADO | Débito revertido en origen — estado consistente restaurado
2pc,C,2,1,2026-07-07T01:16:45.987658,1.11,0.5,22.88,false,"banco_arequipa,banco_cusco",nodo_caido,0,ERROR: Nodo caído: Banco Cusco no completó el COMMIT | GLOBAL ROLLBACK EJECUTADO | Débito revertido en origen — estado consistente restaurado
2pc,C,2,2,2026-07-07T01:16:46.017404,1.14,0.5,23.83,false,"banco_arequipa,banco_cusco",nodo_caido,0,ERROR: Nodo caído: Banco Cusco no completó el COMMIT | GLOBAL ROLLBACK EJECUTADO | Débito revertido en origen — estado consistente restaurado
2pc,C,2,3,2026-07-07T01:16:46.051330,1.21,0.5,26.36,false,"banco_arequipa,banco_cusco",nodo_caido,0,ERROR: Nodo caído: Banco Cusco no completó el COMMIT | GLOBAL ROLLBACK EJECUTADO | Débito revertido en origen — estado consistente restaurado
2pc,C,3,1,2026-07-07T01:16:46.080098,1.12,0.5,23.4,false,"banco_arequipa,banco_cusco",nodo_caido,0,ERROR: Nodo caído: Banco Cusco no completó el COMMIT | GLOBAL ROLLBACK EJECUTADO | Débito revertido en origen — estado consistente restaurado
2pc,C,3,2,2026-07-07T01:16:46.121023,1.05,0.5,35.54,false,"banco_arequipa,banco_cusco",nodo_caido,0,ERROR: Nodo caído: Banco Cusco no completó el COMMIT | GLOBAL ROLLBACK EJECUTADO | Débito revertido en origen — estado consistente restaurado
2pc,C,3,3,2026-07-07T01:16:46.170734,1.12,0.5,25.2,false,"banco_arequipa,banco_cusco",nodo_caido,0,ERROR: Nodo caído: Banco Cusco no completó el COMMIT | GLOBAL ROLLBACK EJECUTADO | Débito revertido en origen — estado consistente restaurado
2pc,C,4,1,2026-07-07T01:16:46.199105,1.13,0.5,23.74,false,"banco_arequipa,banco_cusco",nodo_caido,0,ERROR: Nodo caído: Banco Cusco no completó el COMMIT | GLOBAL ROLLBACK EJECUTADO | Débito revertido en origen — estado consistente restaurado
2pc,C,4,2,2026-07-07T01:16:46.227710,1.12,0.5,23.37,false,"banco_arequipa,banco_cusco",nodo_caido,0,ERROR: Nodo caído: Banco Cusco no completó el COMMIT | GLOBAL ROLLBACK EJECUTADO | Débito revertido en origen — estado consistente restaurado
2pc,C,4,3,2026-07-07T01:16:46.256854,1.14,0.5,23.76,false,"banco_arequipa,banco_cusco",nodo_caido,0,ERROR: Nodo caído: Banco Cusco no completó el COMMIT | GLOBAL ROLLBACK EJECUTADO | Débito revertido en origen — estado consistente restaurado
2pc,C,5,1,2026-07-07T01:16:46.284785,1.13,0.5,23.3,false,"banco_arequipa,banco_cusco",nodo_caido,0,ERROR: Nodo caído: Banco Cusco no completó el COMMIT | GLOBAL ROLLBACK EJECUTADO | Débito revertido en origen — estado consistente restaurado
2pc,C,5,2,2026-07-07T01:16:46.318231,1.1,0.5,25.59,false,"banco_arequipa,banco_cusco",nodo_caido,0,ERROR: Nodo caído: Banco Cusco no completó el COMMIT | GLOBAL ROLLBACK EJECUTADO | Débito revertido en origen — estado consistente restaurado
2pc,C,5,3,2026-07-07T01:16:46.348708,1.12,0.5,24.74,false,"banco_arequipa,banco_cusco",nodo_caido,0,ERROR: Nodo caído: Banco Cusco no completó el COMMIT | GLOBAL ROLLBACK EJECUTADO | Débito revertido en origen — estado consistente restaurado
