protocolo,escenario,repeticion,operacion_id,timestamp,prepare_latency_ms,commit_latency_ms,total_latency_ms,exito,nodos_involucrados,tipo_fallo,compensaciones,observaciones
2pc,D,1,1,2026-07-07T01:17:57.754533,1.1,0.5,27.92,false,"banco_arequipa,banco_cusco",recuperacion,0,"ERROR durante recuperación: new row for relation ""cuentas"" violates check constraint ""cuentas_saldo_check""
DETAIL:  Failing row contains (1, Alvaro Quispe, -470.00).
 | GLOBAL ROLLBACK EJECUTADO | Recuperación fallida — intervención manual requerida"
2pc,D,1,2,2026-07-07T01:17:57.785877,1.14,0.5,24.81,false,"banco_arequipa,banco_cusco",recuperacion,0,"ERROR durante recuperación: new row for relation ""cuentas"" violates check constraint ""cuentas_saldo_check""
DETAIL:  Failing row contains (1, Alvaro Quispe, -480.00).
 | GLOBAL ROLLBACK EJECUTADO | Recuperación fallida — intervención manual requerida"
2pc,D,1,3,2026-07-07T01:17:57.820593,1.14,0.5,23.21,false,"banco_arequipa,banco_cusco",recuperacion,0,"ERROR durante recuperación: new row for relation ""cuentas"" violates check constraint ""cuentas_saldo_check""
DETAIL:  Failing row contains (1, Alvaro Quispe, -490.00).
 | GLOBAL ROLLBACK EJECUTADO | Recuperación fallida — intervención manual requerida"
2pc,D,2,1,2026-07-07T01:17:57.849996,1.09,0.5,23.72,false,"banco_arequipa,banco_cusco",recuperacion,0,"ERROR durante recuperación: new row for relation ""cuentas"" violates check constraint ""cuentas_saldo_check""
DETAIL:  Failing row contains (1, Alvaro Quispe, -470.00).
 | GLOBAL ROLLBACK EJECUTADO | Recuperación fallida — intervención manual requerida"
2pc,D,2,2,2026-07-07T01:17:57.883332,1.11,0.5,25.82,false,"banco_arequipa,banco_cusco",recuperacion,0,"ERROR durante recuperación: new row for relation ""cuentas"" violates check constraint ""cuentas_saldo_check""
DETAIL:  Failing row contains (1, Alvaro Quispe, -480.00).
 | GLOBAL ROLLBACK EJECUTADO | Recuperación fallida — intervención manual requerida"
2pc,D,2,3,2026-07-07T01:17:57.913309,1.1,0.5,26.04,false,"banco_arequipa,banco_cusco",recuperacion,0,"ERROR durante recuperación: new row for relation ""cuentas"" violates check constraint ""cuentas_saldo_check""
DETAIL:  Failing row contains (1, Alvaro Quispe, -490.00).
 | GLOBAL ROLLBACK EJECUTADO | Recuperación fallida — intervención manual requerida"
2pc,D,3,1,2026-07-07T01:17:57.942120,1.12,0.5,24.16,false,"banco_arequipa,banco_cusco",recuperacion,0,"ERROR durante recuperación: new row for relation ""cuentas"" violates check constraint ""cuentas_saldo_check""
DETAIL:  Failing row contains (1, Alvaro Quispe, -470.00).
 | GLOBAL ROLLBACK EJECUTADO | Recuperación fallida — intervención manual requerida"
2pc,D,3,2,2026-07-07T01:17:57.971335,1.13,0.5,23.24,false,"banco_arequipa,banco_cusco",recuperacion,0,"ERROR durante recuperación: new row for relation ""cuentas"" violates check constraint ""cuentas_saldo_check""
DETAIL:  Failing row contains (1, Alvaro Quispe, -480.00).
 | GLOBAL ROLLBACK EJECUTADO | Recuperación fallida — intervención manual requerida"
2pc,D,3,3,2026-07-07T01:17:58.000565,1.09,0.5,25.35,false,"banco_arequipa,banco_cusco",recuperacion,0,"ERROR durante recuperación: new row for relation ""cuentas"" violates check constraint ""cuentas_saldo_check""
DETAIL:  Failing row contains (1, Alvaro Quispe, -490.00).
 | GLOBAL ROLLBACK EJECUTADO | Recuperación fallida — intervención manual requerida"
2pc,D,4,1,2026-07-07T01:17:58.028100,1.11,0.5,23.03,false,"banco_arequipa,banco_cusco",recuperacion,0,"ERROR durante recuperación: new row for relation ""cuentas"" violates check constraint ""cuentas_saldo_check""
DETAIL:  Failing row contains (1, Alvaro Quispe, -470.00).
 | GLOBAL ROLLBACK EJECUTADO | Recuperación fallida — intervención manual requerida"
2pc,D,4,2,2026-07-07T01:17:58.055832,1.09,0.5,23.18,false,"banco_arequipa,banco_cusco",recuperacion,0,"ERROR durante recuperación: new row for relation ""cuentas"" violates check constraint ""cuentas_saldo_check""
DETAIL:  Failing row contains (1, Alvaro Quispe, -480.00).
 | GLOBAL ROLLBACK EJECUTADO | Recuperación fallida — intervención manual requerida"
2pc,D,4,3,2026-07-07T01:17:58.084985,1.16,0.5,25.28,false,"banco_arequipa,banco_cusco",recuperacion,0,"ERROR durante recuperación: new row for relation ""cuentas"" violates check constraint ""cuentas_saldo_check""
DETAIL:  Failing row contains (1, Alvaro Quispe, -490.00).
 | GLOBAL ROLLBACK EJECUTADO | Recuperación fallida — intervención manual requerida"
2pc,D,5,1,2026-07-07T01:17:58.115123,1.14,0.5,25.79,false,"banco_arequipa,banco_cusco",recuperacion,0,"ERROR durante recuperación: new row for relation ""cuentas"" violates check constraint ""cuentas_saldo_check""
DETAIL:  Failing row contains (1, Alvaro Quispe, -470.00).
 | GLOBAL ROLLBACK EJECUTADO | Recuperación fallida — intervención manual requerida"
2pc,D,5,2,2026-07-07T01:17:58.143528,1.07,0.5,23.91,false,"banco_arequipa,banco_cusco",recuperacion,0,"ERROR durante recuperación: new row for relation ""cuentas"" violates check constraint ""cuentas_saldo_check""
DETAIL:  Failing row contains (1, Alvaro Quispe, -480.00).
 | GLOBAL ROLLBACK EJECUTADO | Recuperación fallida — intervención manual requerida"
2pc,D,5,3,2026-07-07T01:17:58.172965,1.1,0.5,20.7,false,"banco_arequipa,banco_cusco",recuperacion,0,"ERROR durante recuperación: new row for relation ""cuentas"" violates check constraint ""cuentas_saldo_check""
DETAIL:  Failing row contains (1, Alvaro Quispe, -490.00).
 | GLOBAL ROLLBACK EJECUTADO | Recuperación fallida — intervención manual requerida"
