protocolo,escenario,repeticion,operacion_id,timestamp,prepare_latency_ms,commit_latency_ms,total_latency_ms,exito,nodos_involucrados,tipo_fallo,compensaciones,observaciones
raft,A,1,1,2026-07-07T01:21:54.872441,1.09,0.5,110.32,true,"banco_arequipa,banco_cusco",ninguno,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=0 | RAFT COMMIT: Transferencia completada por consenso"
raft,A,1,2,2026-07-07T01:21:54.976865,1.13,0.5,100.06,true,"banco_arequipa,banco_cusco",ninguno,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=1 | RAFT COMMIT: Transferencia completada por consenso"
raft,A,1,3,2026-07-07T01:21:55.075320,1.15,0.5,94.08,true,"banco_arequipa,banco_cusco",ninguno,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=2 | RAFT COMMIT: Transferencia completada por consenso"
raft,A,2,1,2026-07-07T01:21:55.177332,1.09,0.5,93.87,true,"banco_arequipa,banco_cusco",ninguno,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=3 | RAFT COMMIT: Transferencia completada por consenso"
raft,A,2,2,2026-07-07T01:21:55.275084,1.08,0.5,94.07,true,"banco_arequipa,banco_cusco",ninguno,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=4 | RAFT COMMIT: Transferencia completada por consenso"
raft,A,2,3,2026-07-07T01:21:55.374729,1.09,0.5,95.72,true,"banco_arequipa,banco_cusco",ninguno,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=5 | RAFT COMMIT: Transferencia completada por consenso"
raft,A,3,1,2026-07-07T01:21:55.478883,1.1,0.5,100.15,true,"banco_arequipa,banco_cusco",ninguno,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=6 | RAFT COMMIT: Transferencia completada por consenso"
raft,A,3,2,2026-07-07T01:21:55.576946,1.09,0.5,94.83,true,"banco_arequipa,banco_cusco",ninguno,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=7 | RAFT COMMIT: Transferencia completada por consenso"
raft,A,3,3,2026-07-07T01:21:55.678245,1.12,0.5,93.86,true,"banco_arequipa,banco_cusco",ninguno,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=8 | RAFT COMMIT: Transferencia completada por consenso"
raft,A,4,1,2026-07-07T01:21:55.772825,1.09,0.5,90.48,true,"banco_arequipa,banco_cusco",ninguno,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=9 | RAFT COMMIT: Transferencia completada por consenso"
raft,A,4,2,2026-07-07T01:21:55.866136,1.08,0.5,90.03,true,"banco_arequipa,banco_cusco",ninguno,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=10 | RAFT COMMIT: Transferencia completada por consenso"
raft,A,4,3,2026-07-07T01:21:55.960886,1.06,0.5,90.46,true,"banco_arequipa,banco_cusco",ninguno,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=11 | RAFT COMMIT: Transferencia completada por consenso"
raft,A,5,1,2026-07-07T01:21:56.055148,1.05,0.5,90.31,true,"banco_arequipa,banco_cusco",ninguno,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=12 | RAFT COMMIT: Transferencia completada por consenso"
raft,A,5,2,2026-07-07T01:21:56.144705,1.03,0.5,86.27,true,"banco_arequipa,banco_cusco",ninguno,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=13 | RAFT COMMIT: Transferencia completada por consenso"
raft,A,5,3,2026-07-07T01:21:56.242014,1.06,0.5,89.92,true,"banco_arequipa,banco_cusco",ninguno,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=14 | RAFT COMMIT: Transferencia completada por consenso"
