protocolo,escenario,repeticion,operacion_id,timestamp,prepare_latency_ms,commit_latency_ms,total_latency_ms,exito,nodos_involucrados,tipo_fallo,compensaciones,observaciones
raft,B,1,1,2026-07-07T01:22:16.286586,1.1,0.5,117.59,true,"banco_arequipa,banco_cusco",red,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=0 | RAFT COMMIT: Transferencia completada por consenso"
raft,B,1,2,2026-07-07T01:22:16.385836,1.12,0.5,94.0,true,"banco_arequipa,banco_cusco",red,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=1 | RAFT COMMIT: Transferencia completada por consenso"
raft,B,1,3,2026-07-07T01:22:16.485434,1.12,0.5,95.58,true,"banco_arequipa,banco_cusco",red,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=2 | RAFT COMMIT: Transferencia completada por consenso"
raft,B,2,1,2026-07-07T01:22:16.581330,1.11,0.5,91.65,true,"banco_arequipa,banco_cusco",red,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=3 | RAFT COMMIT: Transferencia completada por consenso"
raft,B,2,2,2026-07-07T01:22:16.681192,1.12,0.5,96.06,true,"banco_arequipa,banco_cusco",red,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=4 | RAFT COMMIT: Transferencia completada por consenso"
raft,B,2,3,2026-07-07T01:22:16.777210,1.12,0.5,91.72,true,"banco_arequipa,banco_cusco",red,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=5 | RAFT COMMIT: Transferencia completada por consenso"
raft,B,3,1,2026-07-07T01:22:16.881127,1.09,0.5,97.52,true,"banco_arequipa,banco_cusco",red,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=6 | RAFT COMMIT: Transferencia completada por consenso"
raft,B,3,2,2026-07-07T01:22:16.981546,1.07,0.5,93.45,true,"banco_arequipa,banco_cusco",red,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=7 | RAFT COMMIT: Transferencia completada por consenso"
raft,B,3,3,2026-07-07T01:22:17.566507,1.08,0.5,581.35,true,"banco_arequipa,banco_cusco",red,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=8 | RAFT COMMIT: Transferencia completada por consenso"
raft,B,4,1,2026-07-07T01:22:17.664232,1.1,0.5,92.92,true,"banco_arequipa,banco_cusco",red,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=9 | RAFT COMMIT: Transferencia completada por consenso"
raft,B,4,2,2026-07-07T01:22:18.509118,1.14,0.5,836.84,true,"banco_arequipa,banco_cusco",red,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=10 | RAFT COMMIT: Transferencia completada por consenso"
raft,B,4,3,2026-07-07T01:22:18.614488,1.3,0.5,96.24,true,"banco_arequipa,banco_cusco",red,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=11 | RAFT COMMIT: Transferencia completada por consenso"
raft,B,5,1,2026-07-07T01:22:18.710002,1.14,0.5,91.41,true,"banco_arequipa,banco_cusco",red,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=12 | RAFT COMMIT: Transferencia completada por consenso"
raft,B,5,2,2026-07-07T01:22:18.811846,1.09,0.5,97.61,true,"banco_arequipa,banco_cusco",red,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=13 | RAFT COMMIT: Transferencia completada por consenso"
raft,B,5,3,2026-07-07T01:22:18.915468,1.09,0.5,99.65,true,"banco_arequipa,banco_cusco",red,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=14 | RAFT COMMIT: Transferencia completada por consenso"
