protocolo,escenario,repeticion,operacion_id,timestamp,prepare_latency_ms,commit_latency_ms,total_latency_ms,exito,nodos_involucrados,tipo_fallo,compensaciones,observaciones
raft,C,1,1,2026-07-07T01:22:32.180466,1.11,0.5,110.09,true,"banco_arequipa,banco_cusco",nodo_caido,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=0 | RAFT COMMIT: Transferencia completada por consenso"
raft,C,1,2,2026-07-07T01:22:32.276769,1.16,0.5,91.44,true,"banco_arequipa,banco_cusco",nodo_caido,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=1 | RAFT COMMIT: Transferencia completada por consenso"
raft,C,1,3,2026-07-07T01:22:32.372622,1.07,0.5,90.37,true,"banco_arequipa,banco_cusco",nodo_caido,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=2 | RAFT COMMIT: Transferencia completada por consenso"
raft,C,2,1,2026-07-07T01:22:32.475572,1.11,0.5,99.12,true,"banco_arequipa,banco_cusco",nodo_caido,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=3 | RAFT COMMIT: Transferencia completada por consenso"
raft,C,2,2,2026-07-07T01:22:32.580113,1.11,0.5,100.3,true,"banco_arequipa,banco_cusco",nodo_caido,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=4 | RAFT COMMIT: Transferencia completada por consenso"
raft,C,2,3,2026-07-07T01:22:32.679840,1.15,0.5,95.6,true,"banco_arequipa,banco_cusco",nodo_caido,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=5 | RAFT COMMIT: Transferencia completada por consenso"
raft,C,3,1,2026-07-07T01:22:32.778714,1.06,0.5,95.06,true,"banco_arequipa,banco_cusco",nodo_caido,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=6 | RAFT COMMIT: Transferencia completada por consenso"
raft,C,3,2,2026-07-07T01:22:32.883153,1.11,0.5,99.41,true,"banco_arequipa,banco_cusco",nodo_caido,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=7 | RAFT COMMIT: Transferencia completada por consenso"
raft,C,3,3,2026-07-07T01:22:32.979381,1.09,0.5,91.88,true,"banco_arequipa,banco_cusco",nodo_caido,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=8 | RAFT COMMIT: Transferencia completada por consenso"
raft,C,4,1,2026-07-07T01:22:33.076666,1.12,0.5,93.53,true,"banco_arequipa,banco_cusco",nodo_caido,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=9 | RAFT COMMIT: Transferencia completada por consenso"
raft,C,4,2,2026-07-07T01:22:33.178898,1.08,0.5,98.05,true,"banco_arequipa,banco_cusco",nodo_caido,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=10 | RAFT COMMIT: Transferencia completada por consenso"
raft,C,4,3,2026-07-07T01:22:33.278103,1.1,0.5,94.53,true,"banco_arequipa,banco_cusco",nodo_caido,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=11 | RAFT COMMIT: Transferencia completada por consenso"
raft,C,5,1,2026-07-07T01:22:33.374336,1.13,0.5,92.86,true,"banco_arequipa,banco_cusco",nodo_caido,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=12 | RAFT COMMIT: Transferencia completada por consenso"
raft,C,5,2,2026-07-07T01:22:33.472701,1.14,0.5,94.8,true,"banco_arequipa,banco_cusco",nodo_caido,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=13 | RAFT COMMIT: Transferencia completada por consenso"
raft,C,5,3,2026-07-07T01:22:33.585414,1.09,0.5,108.66,true,"banco_arequipa,banco_cusco",nodo_caido,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=14 | RAFT COMMIT: Transferencia completada por consenso"
