protocolo,escenario,repeticion,operacion_id,timestamp,prepare_latency_ms,commit_latency_ms,total_latency_ms,exito,nodos_involucrados,tipo_fallo,compensaciones,observaciones
raft,D,1,1,2026-07-07T01:22:34.845930,1.09,0.5,98.6,true,"banco_arequipa,banco_cusco",recuperacion,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=0 | RAFT COMMIT: Transferencia completada por consenso"
raft,D,1,2,2026-07-07T01:22:34.945182,1.07,0.5,93.99,true,"banco_arequipa,banco_cusco",recuperacion,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=1 | RAFT COMMIT: Transferencia completada por consenso"
raft,D,1,3,2026-07-07T01:22:35.045150,1.17,0.5,95.61,true,"banco_arequipa,banco_cusco",recuperacion,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=2 | RAFT COMMIT: Transferencia completada por consenso"
raft,D,2,1,2026-07-07T01:22:35.144409,1.13,0.5,95.42,true,"banco_arequipa,banco_cusco",recuperacion,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=3 | RAFT COMMIT: Transferencia completada por consenso"
raft,D,2,2,2026-07-07T01:22:35.241064,1.1,0.5,92.07,true,"banco_arequipa,banco_cusco",recuperacion,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=4 | RAFT COMMIT: Transferencia completada por consenso"
raft,D,2,3,2026-07-07T01:22:35.337979,1.1,0.5,92.95,true,"banco_arequipa,banco_cusco",recuperacion,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=5 | RAFT COMMIT: Transferencia completada por consenso"
raft,D,3,1,2026-07-07T01:22:35.436515,1.09,0.5,93.63,true,"banco_arequipa,banco_cusco",recuperacion,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=6 | RAFT COMMIT: Transferencia completada por consenso"
raft,D,3,2,2026-07-07T01:22:35.532510,1.1,0.5,91.41,true,"banco_arequipa,banco_cusco",recuperacion,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=7 | RAFT COMMIT: Transferencia completada por consenso"
raft,D,3,3,2026-07-07T01:22:35.630024,1.13,0.5,92.84,true,"banco_arequipa,banco_cusco",recuperacion,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=8 | RAFT COMMIT: Transferencia completada por consenso"
raft,D,4,1,2026-07-07T01:22:35.728179,1.06,0.5,93.5,true,"banco_arequipa,banco_cusco",recuperacion,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=9 | RAFT COMMIT: Transferencia completada por consenso"
raft,D,4,2,2026-07-07T01:22:35.824289,1.1,0.5,91.87,true,"banco_arequipa,banco_cusco",recuperacion,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=10 | RAFT COMMIT: Transferencia completada por consenso"
raft,D,4,3,2026-07-07T01:22:35.949608,1.09,0.5,120.58,true,"banco_arequipa,banco_cusco",recuperacion,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=11 | RAFT COMMIT: Transferencia completada por consenso"
raft,D,5,1,2026-07-07T01:22:36.049414,1.13,0.5,96.14,true,"banco_arequipa,banco_cusco",recuperacion,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=12 | RAFT COMMIT: Transferencia completada por consenso"
raft,D,5,2,2026-07-07T01:22:36.145533,1.08,0.5,93.1,true,"banco_arequipa,banco_cusco",recuperacion,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=13 | RAFT COMMIT: Transferencia completada por consenso"
raft,D,5,3,2026-07-07T01:22:36.243059,1.63,0.5,93.72,true,"banco_arequipa,banco_cusco",recuperacion,0,"RAFT: Consenso = True (acks=3/3, quorum=2) | RAFT: Commit index=14 | RAFT COMMIT: Transferencia completada por consenso"
