protocolo,escenario,repeticion,operacion_id,timestamp,prepare_latency_ms,commit_latency_ms,total_latency_ms,exito,nodos_involucrados,tipo_fallo,compensaciones,observaciones
saga,A,1,1,2026-07-07T01:16:46.768142,1.19,0.5,47.43,true,"banco_arequipa,banco_cusco",ninguno,0,SAGA Paso 2/2: Crédito Banco Cusco (+S/ 500.00) | SAGA Paso 2/2 ✓: Crédito completado en Banco Cusco | SAGA COMPLETA: Transferencia exitosa sin fallos
saga,A,1,2,2026-07-07T01:16:46.803644,1.14,0.5,29.48,true,"banco_arequipa,banco_cusco",ninguno,0,SAGA Paso 2/2: Crédito Banco Cusco (+S/ 510.00) | SAGA Paso 2/2 ✓: Crédito completado en Banco Cusco | SAGA COMPLETA: Transferencia exitosa sin fallos
saga,A,1,3,2026-07-07T01:16:46.837245,1.59,0.5,28.19,true,"banco_arequipa,banco_cusco",ninguno,0,SAGA Paso 2/2: Crédito Banco Cusco (+S/ 520.00) | SAGA Paso 2/2 ✓: Crédito completado en Banco Cusco | SAGA COMPLETA: Transferencia exitosa sin fallos
saga,A,2,1,2026-07-07T01:16:46.867642,1.09,0.5,25.64,true,"banco_arequipa,banco_cusco",ninguno,0,SAGA Paso 2/2: Crédito Banco Cusco (+S/ 500.00) | SAGA Paso 2/2 ✓: Crédito completado en Banco Cusco | SAGA COMPLETA: Transferencia exitosa sin fallos
saga,A,2,2,2026-07-07T01:16:46.900861,1.1,0.5,28.17,true,"banco_arequipa,banco_cusco",ninguno,0,SAGA Paso 2/2: Crédito Banco Cusco (+S/ 510.00) | SAGA Paso 2/2 ✓: Crédito completado en Banco Cusco | SAGA COMPLETA: Transferencia exitosa sin fallos
saga,A,2,3,2026-07-07T01:16:46.932293,1.08,0.5,25.0,true,"banco_arequipa,banco_cusco",ninguno,0,SAGA Paso 2/2: Crédito Banco Cusco (+S/ 520.00) | SAGA Paso 2/2 ✓: Crédito completado en Banco Cusco | SAGA COMPLETA: Transferencia exitosa sin fallos
saga,A,3,1,2026-07-07T01:16:46.964836,1.1,0.5,27.7,true,"banco_arequipa,banco_cusco",ninguno,0,SAGA Paso 2/2: Crédito Banco Cusco (+S/ 500.00) | SAGA Paso 2/2 ✓: Crédito completado en Banco Cusco | SAGA COMPLETA: Transferencia exitosa sin fallos
saga,A,3,2,2026-07-07T01:16:46.995996,1.14,0.5,26.57,true,"banco_arequipa,banco_cusco",ninguno,0,SAGA Paso 2/2: Crédito Banco Cusco (+S/ 510.00) | SAGA Paso 2/2 ✓: Crédito completado en Banco Cusco | SAGA COMPLETA: Transferencia exitosa sin fallos
saga,A,3,3,2026-07-07T01:16:47.029286,1.11,0.5,28.65,true,"banco_arequipa,banco_cusco",ninguno,0,SAGA Paso 2/2: Crédito Banco Cusco (+S/ 520.00) | SAGA Paso 2/2 ✓: Crédito completado en Banco Cusco | SAGA COMPLETA: Transferencia exitosa sin fallos
saga,A,4,1,2026-07-07T01:16:47.060184,1.12,0.5,26.22,true,"banco_arequipa,banco_cusco",ninguno,0,SAGA Paso 2/2: Crédito Banco Cusco (+S/ 500.00) | SAGA Paso 2/2 ✓: Crédito completado en Banco Cusco | SAGA COMPLETA: Transferencia exitosa sin fallos
saga,A,4,2,2026-07-07T01:16:47.091891,1.11,0.5,26.49,true,"banco_arequipa,banco_cusco",ninguno,0,SAGA Paso 2/2: Crédito Banco Cusco (+S/ 510.00) | SAGA Paso 2/2 ✓: Crédito completado en Banco Cusco | SAGA COMPLETA: Transferencia exitosa sin fallos
saga,A,4,3,2026-07-07T01:16:47.127546,1.06,0.5,31.05,true,"banco_arequipa,banco_cusco",ninguno,0,SAGA Paso 2/2: Crédito Banco Cusco (+S/ 520.00) | SAGA Paso 2/2 ✓: Crédito completado en Banco Cusco | SAGA COMPLETA: Transferencia exitosa sin fallos
saga,A,5,1,2026-07-07T01:16:47.164490,1.29,0.5,31.01,true,"banco_arequipa,banco_cusco",ninguno,0,SAGA Paso 2/2: Crédito Banco Cusco (+S/ 500.00) | SAGA Paso 2/2 ✓: Crédito completado en Banco Cusco | SAGA COMPLETA: Transferencia exitosa sin fallos
saga,A,5,2,2026-07-07T01:16:47.196426,1.1,0.5,26.71,true,"banco_arequipa,banco_cusco",ninguno,0,SAGA Paso 2/2: Crédito Banco Cusco (+S/ 510.00) | SAGA Paso 2/2 ✓: Crédito completado en Banco Cusco | SAGA COMPLETA: Transferencia exitosa sin fallos
saga,A,5,3,2026-07-07T01:16:47.232558,1.32,0.5,30.68,true,"banco_arequipa,banco_cusco",ninguno,0,SAGA Paso 2/2: Crédito Banco Cusco (+S/ 520.00) | SAGA Paso 2/2 ✓: Crédito completado en Banco Cusco | SAGA COMPLETA: Transferencia exitosa sin fallos
