protocolo,escenario,repeticion,operacion_id,timestamp,prepare_latency_ms,commit_latency_ms,total_latency_ms,exito,nodos_involucrados,tipo_fallo,compensaciones,observaciones
saga,B,1,1,2026-07-07T01:16:47.479663,1.22,0.5,47.42,false,"banco_arequipa,banco_cusco",red,1,SAGA: Iniciando compensaciones en orden inverso... | SAGA COMPENSACIÓN ✓: Débito revertido en Banco Arequipa | SAGA: 1 compensación(es) aplicada(s)
saga,B,1,2,2026-07-07T01:16:47.525701,1.1,0.5,39.2,false,"banco_arequipa,banco_cusco",red,1,SAGA: Iniciando compensaciones en orden inverso... | SAGA COMPENSACIÓN ✓: Débito revertido en Banco Arequipa | SAGA: 1 compensación(es) aplicada(s)
saga,B,1,3,2026-07-07T01:16:47.582144,1.09,0.5,50.04,false,"banco_arequipa,banco_cusco",red,1,SAGA: Iniciando compensaciones en orden inverso... | SAGA COMPENSACIÓN ✓: Débito revertido en Banco Arequipa | SAGA: 1 compensación(es) aplicada(s)
saga,B,2,1,2026-07-07T01:16:47.642071,1.09,0.5,53.76,false,"banco_arequipa,banco_cusco",red,1,SAGA: Iniciando compensaciones en orden inverso... | SAGA COMPENSACIÓN ✓: Débito revertido en Banco Arequipa | SAGA: 1 compensación(es) aplicada(s)
saga,B,2,2,2026-07-07T01:16:47.696476,1.43,0.5,34.4,false,"banco_arequipa,banco_cusco",red,1,SAGA: Iniciando compensaciones en orden inverso... | SAGA COMPENSACIÓN ✓: Débito revertido en Banco Arequipa | SAGA: 1 compensación(es) aplicada(s)
saga,B,2,3,2026-07-07T01:16:47.733652,1.08,0.5,33.81,false,"banco_arequipa,banco_cusco",red,1,SAGA: Iniciando compensaciones en orden inverso... | SAGA COMPENSACIÓN ✓: Débito revertido en Banco Arequipa | SAGA: 1 compensación(es) aplicada(s)
saga,B,3,1,2026-07-07T01:16:47.772761,1.07,0.5,35.42,false,"banco_arequipa,banco_cusco",red,1,SAGA: Iniciando compensaciones en orden inverso... | SAGA COMPENSACIÓN ✓: Débito revertido en Banco Arequipa | SAGA: 1 compensación(es) aplicada(s)
saga,B,3,2,2026-07-07T01:16:47.814067,1.11,0.5,36.9,false,"banco_arequipa,banco_cusco",red,1,SAGA: Iniciando compensaciones en orden inverso... | SAGA COMPENSACIÓN ✓: Débito revertido en Banco Arequipa | SAGA: 1 compensación(es) aplicada(s)
saga,B,3,3,2026-07-07T01:16:47.856340,1.13,0.5,38.41,false,"banco_arequipa,banco_cusco",red,1,SAGA: Iniciando compensaciones en orden inverso... | SAGA COMPENSACIÓN ✓: Débito revertido en Banco Arequipa | SAGA: 1 compensación(es) aplicada(s)
saga,B,4,1,2026-07-07T01:16:47.896592,1.14,0.5,36.61,false,"banco_arequipa,banco_cusco",red,1,SAGA: Iniciando compensaciones en orden inverso... | SAGA COMPENSACIÓN ✓: Débito revertido en Banco Arequipa | SAGA: 1 compensación(es) aplicada(s)
saga,B,4,2,2026-07-07T01:16:47.939011,1.1,0.5,38.61,false,"banco_arequipa,banco_cusco",red,1,SAGA: Iniciando compensaciones en orden inverso... | SAGA COMPENSACIÓN ✓: Débito revertido en Banco Arequipa | SAGA: 1 compensación(es) aplicada(s)
saga,B,4,3,2026-07-07T01:16:47.978709,1.14,0.5,34.86,false,"banco_arequipa,banco_cusco",red,1,SAGA: Iniciando compensaciones en orden inverso... | SAGA COMPENSACIÓN ✓: Débito revertido en Banco Arequipa | SAGA: 1 compensación(es) aplicada(s)
saga,B,5,1,2026-07-07T01:16:48.018289,1.13,0.5,34.86,false,"banco_arequipa,banco_cusco",red,1,SAGA: Iniciando compensaciones en orden inverso... | SAGA COMPENSACIÓN ✓: Débito revertido en Banco Arequipa | SAGA: 1 compensación(es) aplicada(s)
saga,B,5,2,2026-07-07T01:16:48.059295,1.14,0.5,36.4,false,"banco_arequipa,banco_cusco",red,1,SAGA: Iniciando compensaciones en orden inverso... | SAGA COMPENSACIÓN ✓: Débito revertido en Banco Arequipa | SAGA: 1 compensación(es) aplicada(s)
saga,B,5,3,2026-07-07T01:16:48.099583,1.15,0.5,35.04,false,"banco_arequipa,banco_cusco",red,1,SAGA: Iniciando compensaciones en orden inverso... | SAGA COMPENSACIÓN ✓: Débito revertido en Banco Arequipa | SAGA: 1 compensación(es) aplicada(s)
