protocolo,escenario,repeticion,operacion_id,timestamp,prepare_latency_ms,commit_latency_ms,total_latency_ms,exito,nodos_involucrados,tipo_fallo,compensaciones,observaciones
saga,C,1,1,2026-07-07T01:16:48.308142,1.09,0.5,36.69,false,"banco_arequipa,banco_cusco",nodo_caido,1,SAGA: Iniciando compensaciones en orden inverso... | SAGA COMPENSACIÓN ✓: Débito revertido en Banco Arequipa | SAGA: 1 compensación(es) aplicada(s)
saga,C,1,2,2026-07-07T01:16:48.351426,1.12,0.5,39.27,false,"banco_arequipa,banco_cusco",nodo_caido,1,SAGA: Iniciando compensaciones en orden inverso... | SAGA COMPENSACIÓN ✓: Débito revertido en Banco Arequipa | SAGA: 1 compensación(es) aplicada(s)
saga,C,1,3,2026-07-07T01:16:48.395721,1.08,0.5,37.71,false,"banco_arequipa,banco_cusco",nodo_caido,1,SAGA: Iniciando compensaciones en orden inverso... | SAGA COMPENSACIÓN ✓: Débito revertido en Banco Arequipa | SAGA: 1 compensación(es) aplicada(s)
saga,C,2,1,2026-07-07T01:16:48.433455,1.07,0.5,33.49,false,"banco_arequipa,banco_cusco",nodo_caido,1,SAGA: Iniciando compensaciones en orden inverso... | SAGA COMPENSACIÓN ✓: Débito revertido en Banco Arequipa | SAGA: 1 compensación(es) aplicada(s)
saga,C,2,2,2026-07-07T01:16:48.476607,1.07,0.5,36.7,false,"banco_arequipa,banco_cusco",nodo_caido,1,SAGA: Iniciando compensaciones en orden inverso... | SAGA COMPENSACIÓN ✓: Débito revertido en Banco Arequipa | SAGA: 1 compensación(es) aplicada(s)
saga,C,2,3,2026-07-07T01:16:48.514898,1.1,0.5,33.47,false,"banco_arequipa,banco_cusco",nodo_caido,1,SAGA: Iniciando compensaciones en orden inverso... | SAGA COMPENSACIÓN ✓: Débito revertido en Banco Arequipa | SAGA: 1 compensación(es) aplicada(s)
saga,C,3,1,2026-07-07T01:16:48.558778,1.22,0.5,36.2,false,"banco_arequipa,banco_cusco",nodo_caido,1,SAGA: Iniciando compensaciones en orden inverso... | SAGA COMPENSACIÓN ✓: Débito revertido en Banco Arequipa | SAGA: 1 compensación(es) aplicada(s)
saga,C,3,2,2026-07-07T01:16:48.653738,1.11,0.5,60.3,false,"banco_arequipa,banco_cusco",nodo_caido,1,SAGA: Iniciando compensaciones en orden inverso... | SAGA COMPENSACIÓN ✓: Débito revertido en Banco Arequipa | SAGA: 1 compensación(es) aplicada(s)
saga,C,3,3,2026-07-07T01:16:48.689591,1.1,0.5,32.0,false,"banco_arequipa,banco_cusco",nodo_caido,1,SAGA: Iniciando compensaciones en orden inverso... | SAGA COMPENSACIÓN ✓: Débito revertido en Banco Arequipa | SAGA: 1 compensación(es) aplicada(s)
saga,C,4,1,2026-07-07T01:16:48.727488,1.09,0.5,33.71,false,"banco_arequipa,banco_cusco",nodo_caido,1,SAGA: Iniciando compensaciones en orden inverso... | SAGA COMPENSACIÓN ✓: Débito revertido en Banco Arequipa | SAGA: 1 compensación(es) aplicada(s)
saga,C,4,2,2026-07-07T01:16:48.769608,1.08,0.5,37.37,false,"banco_arequipa,banco_cusco",nodo_caido,1,SAGA: Iniciando compensaciones en orden inverso... | SAGA COMPENSACIÓN ✓: Débito revertido en Banco Arequipa | SAGA: 1 compensación(es) aplicada(s)
saga,C,4,3,2026-07-07T01:16:48.812550,1.05,0.5,38.08,false,"banco_arequipa,banco_cusco",nodo_caido,1,SAGA: Iniciando compensaciones en orden inverso... | SAGA COMPENSACIÓN ✓: Débito revertido en Banco Arequipa | SAGA: 1 compensación(es) aplicada(s)
saga,C,5,1,2026-07-07T01:16:48.852719,1.11,0.5,34.94,false,"banco_arequipa,banco_cusco",nodo_caido,1,SAGA: Iniciando compensaciones en orden inverso... | SAGA COMPENSACIÓN ✓: Débito revertido en Banco Arequipa | SAGA: 1 compensación(es) aplicada(s)
saga,C,5,2,2026-07-07T01:16:48.891661,1.1,0.5,34.1,false,"banco_arequipa,banco_cusco",nodo_caido,1,SAGA: Iniciando compensaciones en orden inverso... | SAGA COMPENSACIÓN ✓: Débito revertido en Banco Arequipa | SAGA: 1 compensación(es) aplicada(s)
saga,C,5,3,2026-07-07T01:16:48.935557,1.07,0.5,34.51,false,"banco_arequipa,banco_cusco",nodo_caido,1,SAGA: Iniciando compensaciones en orden inverso... | SAGA COMPENSACIÓN ✓: Débito revertido en Banco Arequipa | SAGA: 1 compensación(es) aplicada(s)
