protocolo,escenario,repeticion,operacion_id,timestamp,prepare_latency_ms,commit_latency_ms,total_latency_ms,exito,nodos_involucrados,tipo_fallo,compensaciones,observaciones
saga,D,1,1,2026-07-07T01:16:49.157217,1.1,0.5,42.89,true,"banco_arequipa,banco_cusco",recuperacion,0,SAGA Paso 2/2: Crédito Banco Cusco (+S/ 500.00) | SAGA Paso 2/2 ✓: Crédito completado en Banco Cusco | SAGA COMPLETA: Transferencia exitosa sin fallos
saga,D,1,2,2026-07-07T01:16:49.189083,1.07,0.5,27.44,true,"banco_arequipa,banco_cusco",recuperacion,0,SAGA Paso 2/2: Crédito Banco Cusco (+S/ 510.00) | SAGA Paso 2/2 ✓: Crédito completado en Banco Cusco | SAGA COMPLETA: Transferencia exitosa sin fallos
saga,D,1,3,2026-07-07T01:16:49.222314,1.09,0.5,27.87,true,"banco_arequipa,banco_cusco",recuperacion,0,SAGA Paso 2/2: Crédito Banco Cusco (+S/ 520.00) | SAGA Paso 2/2 ✓: Crédito completado en Banco Cusco | SAGA COMPLETA: Transferencia exitosa sin fallos
saga,D,2,1,2026-07-07T01:16:49.254926,1.14,0.5,27.39,true,"banco_arequipa,banco_cusco",recuperacion,0,SAGA Paso 2/2: Crédito Banco Cusco (+S/ 500.00) | SAGA Paso 2/2 ✓: Crédito completado en Banco Cusco | SAGA COMPLETA: Transferencia exitosa sin fallos
saga,D,2,2,2026-07-07T01:16:49.285990,1.07,0.5,26.0,true,"banco_arequipa,banco_cusco",recuperacion,0,SAGA Paso 2/2: Crédito Banco Cusco (+S/ 510.00) | SAGA Paso 2/2 ✓: Crédito completado en Banco Cusco | SAGA COMPLETA: Transferencia exitosa sin fallos
saga,D,2,3,2026-07-07T01:16:49.317557,1.09,0.5,27.13,true,"banco_arequipa,banco_cusco",recuperacion,0,SAGA Paso 2/2: Crédito Banco Cusco (+S/ 520.00) | SAGA Paso 2/2 ✓: Crédito completado en Banco Cusco | SAGA COMPLETA: Transferencia exitosa sin fallos
saga,D,3,1,2026-07-07T01:16:49.348458,1.08,0.5,26.73,true,"banco_arequipa,banco_cusco",recuperacion,0,SAGA Paso 2/2: Crédito Banco Cusco (+S/ 500.00) | SAGA Paso 2/2 ✓: Crédito completado en Banco Cusco | SAGA COMPLETA: Transferencia exitosa sin fallos
saga,D,3,2,2026-07-07T01:16:49.382141,1.11,0.5,29.27,true,"banco_arequipa,banco_cusco",recuperacion,0,SAGA Paso 2/2: Crédito Banco Cusco (+S/ 510.00) | SAGA Paso 2/2 ✓: Crédito completado en Banco Cusco | SAGA COMPLETA: Transferencia exitosa sin fallos
saga,D,3,3,2026-07-07T01:16:49.412165,1.05,0.5,25.27,true,"banco_arequipa,banco_cusco",recuperacion,0,SAGA Paso 2/2: Crédito Banco Cusco (+S/ 520.00) | SAGA Paso 2/2 ✓: Crédito completado en Banco Cusco | SAGA COMPLETA: Transferencia exitosa sin fallos
saga,D,4,1,2026-07-07T01:16:49.443637,1.12,0.5,26.82,true,"banco_arequipa,banco_cusco",recuperacion,0,SAGA Paso 2/2: Crédito Banco Cusco (+S/ 500.00) | SAGA Paso 2/2 ✓: Crédito completado en Banco Cusco | SAGA COMPLETA: Transferencia exitosa sin fallos
saga,D,4,2,2026-07-07T01:16:49.476312,1.09,0.5,27.99,true,"banco_arequipa,banco_cusco",recuperacion,0,SAGA Paso 2/2: Crédito Banco Cusco (+S/ 510.00) | SAGA Paso 2/2 ✓: Crédito completado en Banco Cusco | SAGA COMPLETA: Transferencia exitosa sin fallos
saga,D,4,3,2026-07-07T01:16:49.507255,1.09,0.5,26.63,true,"banco_arequipa,banco_cusco",recuperacion,0,SAGA Paso 2/2: Crédito Banco Cusco (+S/ 520.00) | SAGA Paso 2/2 ✓: Crédito completado en Banco Cusco | SAGA COMPLETA: Transferencia exitosa sin fallos
saga,D,5,1,2026-07-07T01:16:49.538264,1.05,0.5,25.3,true,"banco_arequipa,banco_cusco",recuperacion,0,SAGA Paso 2/2: Crédito Banco Cusco (+S/ 500.00) | SAGA Paso 2/2 ✓: Crédito completado en Banco Cusco | SAGA COMPLETA: Transferencia exitosa sin fallos
saga,D,5,2,2026-07-07T01:16:49.569450,1.04,0.5,27.16,true,"banco_arequipa,banco_cusco",recuperacion,0,SAGA Paso 2/2: Crédito Banco Cusco (+S/ 510.00) | SAGA Paso 2/2 ✓: Crédito completado en Banco Cusco | SAGA COMPLETA: Transferencia exitosa sin fallos
saga,D,5,3,2026-07-07T01:16:49.599637,1.11,0.5,26.09,true,"banco_arequipa,banco_cusco",recuperacion,0,SAGA Paso 2/2: Crédito Banco Cusco (+S/ 520.00) | SAGA Paso 2/2 ✓: Crédito completado en Banco Cusco | SAGA COMPLETA: Transferencia exitosa sin fallos
