protocolo,escenario,repeticion,operacion_id,timestamp,prepare_latency_ms,commit_latency_ms,total_latency_ms,exito,nodos_involucrados,tipo_fallo,compensaciones,observaciones
tcc,A,1,1,2026-07-07T01:16:49.911954,1.13,0.5,126.59,true,"banco_arequipa,banco_cusco",ninguno,0,TCC CONFIRM ✓: Debito confirmado en Banco Arequipa (-S/ 500.00) | TCC CONFIRM ✓: Credito confirmado en Banco Cusco (+S/ 500.00) | TCC CONFIRM ✓: Transacción completada exitosamente
tcc,A,1,2,2026-07-07T01:16:50.023362,1.06,0.5,106.8,true,"banco_arequipa,banco_cusco",ninguno,0,TCC CONFIRM ✓: Debito confirmado en Banco Arequipa (-S/ 510.00) | TCC CONFIRM ✓: Credito confirmado en Banco Cusco (+S/ 510.00) | TCC CONFIRM ✓: Transacción completada exitosamente
tcc,A,1,3,2026-07-07T01:16:50.133680,1.13,0.5,103.07,true,"banco_arequipa,banco_cusco",ninguno,0,TCC CONFIRM ✓: Debito confirmado en Banco Arequipa (-S/ 520.00) | TCC CONFIRM ✓: Credito confirmado en Banco Cusco (+S/ 520.00) | TCC CONFIRM ✓: Transacción completada exitosamente
tcc,A,2,1,2026-07-07T01:16:50.255206,1.11,0.5,117.4,true,"banco_arequipa,banco_cusco",ninguno,0,TCC CONFIRM ✓: Debito confirmado en Banco Arequipa (-S/ 500.00) | TCC CONFIRM ✓: Credito confirmado en Banco Cusco (+S/ 500.00) | TCC CONFIRM ✓: Transacción completada exitosamente
tcc,A,2,2,2026-07-07T01:16:50.358663,1.07,0.5,98.08,true,"banco_arequipa,banco_cusco",ninguno,0,TCC CONFIRM ✓: Debito confirmado en Banco Arequipa (-S/ 510.00) | TCC CONFIRM ✓: Credito confirmado en Banco Cusco (+S/ 510.00) | TCC CONFIRM ✓: Transacción completada exitosamente
tcc,A,2,3,2026-07-07T01:16:50.482340,1.07,0.5,118.98,true,"banco_arequipa,banco_cusco",ninguno,0,TCC CONFIRM ✓: Debito confirmado en Banco Arequipa (-S/ 520.00) | TCC CONFIRM ✓: Credito confirmado en Banco Cusco (+S/ 520.00) | TCC CONFIRM ✓: Transacción completada exitosamente
tcc,A,3,1,2026-07-07T01:16:50.583309,1.08,0.5,95.38,true,"banco_arequipa,banco_cusco",ninguno,0,TCC CONFIRM ✓: Debito confirmado en Banco Arequipa (-S/ 500.00) | TCC CONFIRM ✓: Credito confirmado en Banco Cusco (+S/ 500.00) | TCC CONFIRM ✓: Transacción completada exitosamente
tcc,A,3,2,2026-07-07T01:16:50.686606,1.04,0.5,97.85,true,"banco_arequipa,banco_cusco",ninguno,0,TCC CONFIRM ✓: Debito confirmado en Banco Arequipa (-S/ 510.00) | TCC CONFIRM ✓: Credito confirmado en Banco Cusco (+S/ 510.00) | TCC CONFIRM ✓: Transacción completada exitosamente
tcc,A,3,3,2026-07-07T01:16:50.816773,1.03,0.5,124.38,true,"banco_arequipa,banco_cusco",ninguno,0,TCC CONFIRM ✓: Debito confirmado en Banco Arequipa (-S/ 520.00) | TCC CONFIRM ✓: Credito confirmado en Banco Cusco (+S/ 520.00) | TCC CONFIRM ✓: Transacción completada exitosamente
tcc,A,4,1,2026-07-07T01:16:50.940015,1.06,0.5,117.4,true,"banco_arequipa,banco_cusco",ninguno,0,TCC CONFIRM ✓: Debito confirmado en Banco Arequipa (-S/ 500.00) | TCC CONFIRM ✓: Credito confirmado en Banco Cusco (+S/ 500.00) | TCC CONFIRM ✓: Transacción completada exitosamente
tcc,A,4,2,2026-07-07T01:16:51.080998,1.08,0.5,136.08,true,"banco_arequipa,banco_cusco",ninguno,0,TCC CONFIRM ✓: Debito confirmado en Banco Arequipa (-S/ 510.00) | TCC CONFIRM ✓: Credito confirmado en Banco Cusco (+S/ 510.00) | TCC CONFIRM ✓: Transacción completada exitosamente
tcc,A,4,3,2026-07-07T01:16:51.201681,1.08,0.5,115.63,true,"banco_arequipa,banco_cusco",ninguno,0,TCC CONFIRM ✓: Debito confirmado en Banco Arequipa (-S/ 520.00) | TCC CONFIRM ✓: Credito confirmado en Banco Cusco (+S/ 520.00) | TCC CONFIRM ✓: Transacción completada exitosamente
tcc,A,5,1,2026-07-07T01:16:51.320704,1.07,0.5,114.06,true,"banco_arequipa,banco_cusco",ninguno,0,TCC CONFIRM ✓: Debito confirmado en Banco Arequipa (-S/ 500.00) | TCC CONFIRM ✓: Credito confirmado en Banco Cusco (+S/ 500.00) | TCC CONFIRM ✓: Transacción completada exitosamente
tcc,A,5,2,2026-07-07T01:16:51.443210,1.08,0.5,117.6,true,"banco_arequipa,banco_cusco",ninguno,0,TCC CONFIRM ✓: Debito confirmado en Banco Arequipa (-S/ 510.00) | TCC CONFIRM ✓: Credito confirmado en Banco Cusco (+S/ 510.00) | TCC CONFIRM ✓: Transacción completada exitosamente
tcc,A,5,3,2026-07-07T01:16:51.568618,1.04,0.5,121.04,true,"banco_arequipa,banco_cusco",ninguno,0,TCC CONFIRM ✓: Debito confirmado en Banco Arequipa (-S/ 520.00) | TCC CONFIRM ✓: Credito confirmado en Banco Cusco (+S/ 520.00) | TCC CONFIRM ✓: Transacción completada exitosamente
