protocolo,escenario,repeticion,operacion_id,timestamp,prepare_latency_ms,commit_latency_ms,total_latency_ms,exito,nodos_involucrados,tipo_fallo,compensaciones,observaciones
tcc,B,1,1,2026-07-07T01:16:51.860090,1.12,0.5,104.39,false,"banco_arequipa,banco_cusco",red,1,TCC CANCEL → Reserva debito liberada en Banco Arequipa (tx=tcc_1783...) | TCC CANCEL → Reserva credito liberada en Banco Cusco (tx=tcc_1783...) | TCC: Transacción cancelada — fondos no afectados
tcc,B,1,2,2026-07-07T01:16:51.970415,1.07,0.5,106.01,false,"banco_arequipa,banco_cusco",red,1,TCC CANCEL → Reserva debito liberada en Banco Arequipa (tx=tcc_1783...) | TCC CANCEL → Reserva credito liberada en Banco Cusco (tx=tcc_1783...) | TCC: Transacción cancelada — fondos no afectados
tcc,B,1,3,2026-07-07T01:16:52.091734,1.07,0.5,112.97,false,"banco_arequipa,banco_cusco",red,1,TCC CANCEL → Reserva debito liberada en Banco Arequipa (tx=tcc_1783...) | TCC CANCEL → Reserva credito liberada en Banco Cusco (tx=tcc_1783...) | TCC: Transacción cancelada — fondos no afectados
tcc,B,2,1,2026-07-07T01:16:52.212902,1.06,0.5,115.69,false,"banco_arequipa,banco_cusco",red,1,TCC CANCEL → Reserva debito liberada en Banco Arequipa (tx=tcc_1783...) | TCC CANCEL → Reserva credito liberada en Banco Cusco (tx=tcc_1783...) | TCC: Transacción cancelada — fondos no afectados
tcc,B,2,2,2026-07-07T01:16:52.340076,1.1,0.5,121.64,false,"banco_arequipa,banco_cusco",red,1,TCC CANCEL → Reserva debito liberada en Banco Arequipa (tx=tcc_1783...) | TCC CANCEL → Reserva credito liberada en Banco Cusco (tx=tcc_1783...) | TCC: Transacción cancelada — fondos no afectados
tcc,B,2,3,2026-07-07T01:16:52.459527,1.12,0.5,114.14,false,"banco_arequipa,banco_cusco",red,1,TCC CANCEL → Reserva debito liberada en Banco Arequipa (tx=tcc_1783...) | TCC CANCEL → Reserva credito liberada en Banco Cusco (tx=tcc_1783...) | TCC: Transacción cancelada — fondos no afectados
tcc,B,3,1,2026-07-07T01:16:52.559129,1.48,0.5,94.97,false,"banco_arequipa,banco_cusco",red,1,TCC CANCEL → Reserva debito liberada en Banco Arequipa (tx=tcc_1783...) | TCC CANCEL → Reserva credito liberada en Banco Cusco (tx=tcc_1783...) | TCC: Transacción cancelada — fondos no afectados
tcc,B,3,2,2026-07-07T01:16:52.680270,1.09,0.5,117.2,false,"banco_arequipa,banco_cusco",red,1,TCC CANCEL → Reserva debito liberada en Banco Arequipa (tx=tcc_1783...) | TCC CANCEL → Reserva credito liberada en Banco Cusco (tx=tcc_1783...) | TCC: Transacción cancelada — fondos no afectados
tcc,B,3,3,2026-07-07T01:16:52.798878,1.11,0.5,113.48,false,"banco_arequipa,banco_cusco",red,1,TCC CANCEL → Reserva debito liberada en Banco Arequipa (tx=tcc_1783...) | TCC CANCEL → Reserva credito liberada en Banco Cusco (tx=tcc_1783...) | TCC: Transacción cancelada — fondos no afectados
tcc,B,4,1,2026-07-07T01:16:52.915989,1.07,0.5,112.21,false,"banco_arequipa,banco_cusco",red,1,TCC CANCEL → Reserva debito liberada en Banco Arequipa (tx=tcc_1783...) | TCC CANCEL → Reserva credito liberada en Banco Cusco (tx=tcc_1783...) | TCC: Transacción cancelada — fondos no afectados
tcc,B,4,2,2026-07-07T01:16:53.042060,1.06,0.5,116.92,false,"banco_arequipa,banco_cusco",red,1,TCC CANCEL → Reserva debito liberada en Banco Arequipa (tx=tcc_1783...) | TCC CANCEL → Reserva credito liberada en Banco Cusco (tx=tcc_1783...) | TCC: Transacción cancelada — fondos no afectados
tcc,B,4,3,2026-07-07T01:16:53.163354,1.05,0.5,115.69,false,"banco_arequipa,banco_cusco",red,1,TCC CANCEL → Reserva debito liberada en Banco Arequipa (tx=tcc_1783...) | TCC CANCEL → Reserva credito liberada en Banco Cusco (tx=tcc_1783...) | TCC: Transacción cancelada — fondos no afectados
tcc,B,5,1,2026-07-07T01:16:53.284995,1.13,0.5,117.14,false,"banco_arequipa,banco_cusco",red,1,TCC CANCEL → Reserva debito liberada en Banco Arequipa (tx=tcc_1783...) | TCC CANCEL → Reserva credito liberada en Banco Cusco (tx=tcc_1783...) | TCC: Transacción cancelada — fondos no afectados
tcc,B,5,2,2026-07-07T01:16:53.377320,1.06,0.5,88.42,false,"banco_arequipa,banco_cusco",red,1,TCC CANCEL → Reserva debito liberada en Banco Arequipa (tx=tcc_1783...) | TCC CANCEL → Reserva credito liberada en Banco Cusco (tx=tcc_1783...) | TCC: Transacción cancelada — fondos no afectados
tcc,B,5,3,2026-07-07T01:16:53.470714,1.1,0.5,88.93,false,"banco_arequipa,banco_cusco",red,1,TCC CANCEL → Reserva debito liberada en Banco Arequipa (tx=tcc_1783...) | TCC CANCEL → Reserva credito liberada en Banco Cusco (tx=tcc_1783...) | TCC: Transacción cancelada — fondos no afectados
