protocolo,escenario,repeticion,operacion_id,timestamp,prepare_latency_ms,commit_latency_ms,total_latency_ms,exito,nodos_involucrados,tipo_fallo,compensaciones,observaciones
tcc,C,1,1,2026-07-07T01:16:53.785315,1.11,0.5,123.38,false,"banco_arequipa,banco_cusco",nodo_caido,1,TCC CANCEL → Reserva debito liberada en Banco Arequipa (tx=tcc_1783...) | TCC CANCEL → Reserva credito liberada en Banco Cusco (tx=tcc_1783...) | TCC: Transacción cancelada — fondos no afectados
tcc,C,1,2,2026-07-07T01:16:53.890894,1.05,0.5,102.19,false,"banco_arequipa,banco_cusco",nodo_caido,1,TCC CANCEL → Reserva debito liberada en Banco Arequipa (tx=tcc_1783...) | TCC CANCEL → Reserva credito liberada en Banco Cusco (tx=tcc_1783...) | TCC: Transacción cancelada — fondos no afectados
tcc,C,1,3,2026-07-07T01:16:53.995176,1.06,0.5,99.71,false,"banco_arequipa,banco_cusco",nodo_caido,1,TCC CANCEL → Reserva debito liberada en Banco Arequipa (tx=tcc_1783...) | TCC CANCEL → Reserva credito liberada en Banco Cusco (tx=tcc_1783...) | TCC: Transacción cancelada — fondos no afectados
tcc,C,2,1,2026-07-07T01:16:54.105357,1.08,0.5,105.62,false,"banco_arequipa,banco_cusco",nodo_caido,1,TCC CANCEL → Reserva debito liberada en Banco Arequipa (tx=tcc_1783...) | TCC CANCEL → Reserva credito liberada en Banco Cusco (tx=tcc_1783...) | TCC: Transacción cancelada — fondos no afectados
tcc,C,2,2,2026-07-07T01:16:54.222026,1.1,0.5,112.08,false,"banco_arequipa,banco_cusco",nodo_caido,1,TCC CANCEL → Reserva debito liberada en Banco Arequipa (tx=tcc_1783...) | TCC CANCEL → Reserva credito liberada en Banco Cusco (tx=tcc_1783...) | TCC: Transacción cancelada — fondos no afectados
tcc,C,2,3,2026-07-07T01:16:54.347139,1.07,0.5,115.59,false,"banco_arequipa,banco_cusco",nodo_caido,1,TCC CANCEL → Reserva debito liberada en Banco Arequipa (tx=tcc_1783...) | TCC CANCEL → Reserva credito liberada en Banco Cusco (tx=tcc_1783...) | TCC: Transacción cancelada — fondos no afectados
tcc,C,3,1,2026-07-07T01:16:54.470248,1.07,0.5,114.15,false,"banco_arequipa,banco_cusco",nodo_caido,1,TCC CANCEL → Reserva debito liberada en Banco Arequipa (tx=tcc_1783...) | TCC CANCEL → Reserva credito liberada en Banco Cusco (tx=tcc_1783...) | TCC: Transacción cancelada — fondos no afectados
tcc,C,3,2,2026-07-07T01:16:54.595385,1.11,0.5,119.71,false,"banco_arequipa,banco_cusco",nodo_caido,1,TCC CANCEL → Reserva debito liberada en Banco Arequipa (tx=tcc_1783...) | TCC CANCEL → Reserva credito liberada en Banco Cusco (tx=tcc_1783...) | TCC: Transacción cancelada — fondos no afectados
tcc,C,3,3,2026-07-07T01:16:54.698958,1.09,0.5,98.46,false,"banco_arequipa,banco_cusco",nodo_caido,1,TCC CANCEL → Reserva debito liberada en Banco Arequipa (tx=tcc_1783...) | TCC CANCEL → Reserva credito liberada en Banco Cusco (tx=tcc_1783...) | TCC: Transacción cancelada — fondos no afectados
tcc,C,4,1,2026-07-07T01:16:54.817120,1.07,0.5,114.11,false,"banco_arequipa,banco_cusco",nodo_caido,1,TCC CANCEL → Reserva debito liberada en Banco Arequipa (tx=tcc_1783...) | TCC CANCEL → Reserva credito liberada en Banco Cusco (tx=tcc_1783...) | TCC: Transacción cancelada — fondos no afectados
tcc,C,4,2,2026-07-07T01:16:54.937681,1.13,0.5,115.57,false,"banco_arequipa,banco_cusco",nodo_caido,1,TCC CANCEL → Reserva debito liberada en Banco Arequipa (tx=tcc_1783...) | TCC CANCEL → Reserva credito liberada en Banco Cusco (tx=tcc_1783...) | TCC: Transacción cancelada — fondos no afectados
tcc,C,4,3,2026-07-07T01:16:55.044798,1.08,0.5,102.26,false,"banco_arequipa,banco_cusco",nodo_caido,1,TCC CANCEL → Reserva debito liberada en Banco Arequipa (tx=tcc_1783...) | TCC CANCEL → Reserva credito liberada en Banco Cusco (tx=tcc_1783...) | TCC: Transacción cancelada — fondos no afectados
tcc,C,5,1,2026-07-07T01:16:55.158007,1.14,0.5,108.33,false,"banco_arequipa,banco_cusco",nodo_caido,1,TCC CANCEL → Reserva debito liberada en Banco Arequipa (tx=tcc_1783...) | TCC CANCEL → Reserva credito liberada en Banco Cusco (tx=tcc_1783...) | TCC: Transacción cancelada — fondos no afectados
tcc,C,5,2,2026-07-07T01:16:55.278505,1.15,0.5,113.59,false,"banco_arequipa,banco_cusco",nodo_caido,1,TCC CANCEL → Reserva debito liberada en Banco Arequipa (tx=tcc_1783...) | TCC CANCEL → Reserva credito liberada en Banco Cusco (tx=tcc_1783...) | TCC: Transacción cancelada — fondos no afectados
tcc,C,5,3,2026-07-07T01:16:55.388516,1.14,0.5,104.39,false,"banco_arequipa,banco_cusco",nodo_caido,1,TCC CANCEL → Reserva debito liberada en Banco Arequipa (tx=tcc_1783...) | TCC CANCEL → Reserva credito liberada en Banco Cusco (tx=tcc_1783...) | TCC: Transacción cancelada — fondos no afectados
