protocolo,escenario,repeticion,operacion_id,timestamp,prepare_latency_ms,commit_latency_ms,total_latency_ms,exito,nodos_involucrados,tipo_fallo,compensaciones,observaciones
tcc,D,1,1,2026-07-07T01:16:55.701051,1.1,0.5,128.66,true,"banco_arequipa,banco_cusco",recuperacion,0,TCC CONFIRM ✓: Debito confirmado en Banco Arequipa (-S/ 500.00) | TCC CONFIRM ✓: Credito confirmado en Banco Cusco (+S/ 500.00) | TCC CONFIRM ✓: Transacción completada exitosamente
tcc,D,1,2,2026-07-07T01:16:55.829640,1.14,0.5,122.27,true,"banco_arequipa,banco_cusco",recuperacion,0,TCC CONFIRM ✓: Debito confirmado en Banco Arequipa (-S/ 510.00) | TCC CONFIRM ✓: Credito confirmado en Banco Cusco (+S/ 510.00) | TCC CONFIRM ✓: Transacción completada exitosamente
tcc,D,1,3,2026-07-07T01:16:55.939250,1.09,0.5,104.59,true,"banco_arequipa,banco_cusco",recuperacion,0,TCC CONFIRM ✓: Debito confirmado en Banco Arequipa (-S/ 520.00) | TCC CONFIRM ✓: Credito confirmado en Banco Cusco (+S/ 520.00) | TCC CONFIRM ✓: Transacción completada exitosamente
tcc,D,2,1,2026-07-07T01:16:56.043085,1.1,0.5,98.75,true,"banco_arequipa,banco_cusco",recuperacion,0,TCC CONFIRM ✓: Debito confirmado en Banco Arequipa (-S/ 500.00) | TCC CONFIRM ✓: Credito confirmado en Banco Cusco (+S/ 500.00) | TCC CONFIRM ✓: Transacción completada exitosamente
tcc,D,2,2,2026-07-07T01:16:56.171780,1.11,0.5,122.83,true,"banco_arequipa,banco_cusco",recuperacion,0,TCC CONFIRM ✓: Debito confirmado en Banco Arequipa (-S/ 510.00) | TCC CONFIRM ✓: Credito confirmado en Banco Cusco (+S/ 510.00) | TCC CONFIRM ✓: Transacción completada exitosamente
tcc,D,2,3,2026-07-07T01:16:56.279526,1.1,0.5,103.18,true,"banco_arequipa,banco_cusco",recuperacion,0,TCC CONFIRM ✓: Debito confirmado en Banco Arequipa (-S/ 520.00) | TCC CONFIRM ✓: Credito confirmado en Banco Cusco (+S/ 520.00) | TCC CONFIRM ✓: Transacción completada exitosamente
tcc,D,3,1,2026-07-07T01:16:56.407003,1.1,0.5,121.4,true,"banco_arequipa,banco_cusco",recuperacion,0,TCC CONFIRM ✓: Debito confirmado en Banco Arequipa (-S/ 500.00) | TCC CONFIRM ✓: Credito confirmado en Banco Cusco (+S/ 500.00) | TCC CONFIRM ✓: Transacción completada exitosamente
tcc,D,3,2,2026-07-07T01:16:56.538691,1.11,0.5,125.91,true,"banco_arequipa,banco_cusco",recuperacion,0,TCC CONFIRM ✓: Debito confirmado en Banco Arequipa (-S/ 510.00) | TCC CONFIRM ✓: Credito confirmado en Banco Cusco (+S/ 510.00) | TCC CONFIRM ✓: Transacción completada exitosamente
tcc,D,3,3,2026-07-07T01:16:56.653307,1.1,0.5,109.25,true,"banco_arequipa,banco_cusco",recuperacion,0,TCC CONFIRM ✓: Debito confirmado en Banco Arequipa (-S/ 520.00) | TCC CONFIRM ✓: Credito confirmado en Banco Cusco (+S/ 520.00) | TCC CONFIRM ✓: Transacción completada exitosamente
tcc,D,4,1,2026-07-07T01:16:56.770092,1.06,0.5,110.95,true,"banco_arequipa,banco_cusco",recuperacion,0,TCC CONFIRM ✓: Debito confirmado en Banco Arequipa (-S/ 500.00) | TCC CONFIRM ✓: Credito confirmado en Banco Cusco (+S/ 500.00) | TCC CONFIRM ✓: Transacción completada exitosamente
tcc,D,4,2,2026-07-07T01:16:56.892723,1.14,0.5,115.67,true,"banco_arequipa,banco_cusco",recuperacion,0,TCC CONFIRM ✓: Debito confirmado en Banco Arequipa (-S/ 510.00) | TCC CONFIRM ✓: Credito confirmado en Banco Cusco (+S/ 510.00) | TCC CONFIRM ✓: Transacción completada exitosamente
tcc,D,4,3,2026-07-07T01:16:57.014964,1.09,0.5,117.29,true,"banco_arequipa,banco_cusco",recuperacion,0,TCC CONFIRM ✓: Debito confirmado en Banco Arequipa (-S/ 520.00) | TCC CONFIRM ✓: Credito confirmado en Banco Cusco (+S/ 520.00) | TCC CONFIRM ✓: Transacción completada exitosamente
tcc,D,5,1,2026-07-07T01:16:57.153456,1.09,0.5,134.53,true,"banco_arequipa,banco_cusco",recuperacion,0,TCC CONFIRM ✓: Debito confirmado en Banco Arequipa (-S/ 500.00) | TCC CONFIRM ✓: Credito confirmado en Banco Cusco (+S/ 500.00) | TCC CONFIRM ✓: Transacción completada exitosamente
tcc,D,5,2,2026-07-07T01:16:57.281938,1.14,0.5,122.73,true,"banco_arequipa,banco_cusco",recuperacion,0,TCC CONFIRM ✓: Debito confirmado en Banco Arequipa (-S/ 510.00) | TCC CONFIRM ✓: Credito confirmado en Banco Cusco (+S/ 510.00) | TCC CONFIRM ✓: Transacción completada exitosamente
tcc,D,5,3,2026-07-07T01:16:57.404223,1.13,0.5,117.56,true,"banco_arequipa,banco_cusco",recuperacion,0,TCC CONFIRM ✓: Debito confirmado en Banco Arequipa (-S/ 520.00) | TCC CONFIRM ✓: Credito confirmado en Banco Cusco (+S/ 520.00) | TCC CONFIRM ✓: Transacción completada exitosamente
